"Kod";"Nazwa";"ogółem;ogółem;2017;[osoba]";"ogółem;ogółem;2018;[osoba]";"ogółem;ogółem;2019;[osoba]";"ogółem;ogółem;2020;[osoba]";"ogółem;ogółem;2021;[osoba]";"ogółem;mężczyźni;2017;[osoba]";"ogółem;mężczyźni;2018;[osoba]";"ogółem;mężczyźni;2019;[osoba]";"ogółem;mężczyźni;2020;[osoba]";"ogółem;mężczyźni;2021;[osoba]";"ogółem;kobiety;2017;[osoba]";"ogółem;kobiety;2018;[osoba]";"ogółem;kobiety;2019;[osoba]";"ogółem;kobiety;2020;[osoba]";"ogółem;kobiety;2021;[osoba]";
0200000;"DOLNOŚLĄSKIE";2902547;2901225;2900163;2891321;2880432;1395407;1394978;1394635;1389444;1383971;1507140;1506247;1505528;1501877;1496461;
0400000;"KUJAWSKO-POMORSKIE";2082944;2077775;2072373;2061942;2047900;1009311;1006955;1004306;999050;991900;1073633;1070820;1068067;1062892;1056000;
0600000;"LUBELSKIE";2126317;2117619;2108270;2095258;2076382;1030453;1026225;1021848;1015218;1006098;1095864;1091394;1086422;1080040;1070284;
0800000;"LUBUSKIE";1016832;1014548;1011592;1007145;999205;494930;493848;492166;489806;485524;521902;520700;519426;517339;513681;
1000000;"ŁÓDZKIE";2476315;2466322;2454779;2437970;2416902;1179869;1175159;1169635;1161475;1151263;1296446;1291163;1285144;1276495;1265639;
1200000;"MAŁOPOLSKIE";3391380;3400577;3410901;3410441;3407727;1645986;1650630;1655472;1654947;1653296;1745394;1749947;1755429;1755494;1754431;
1400000;"MAZOWIECKIE";5384617;5403412;5423168;5425028;5419721;2576174;2585436;2595023;2595672;2592472;2808443;2817976;2828145;2829356;2827249;
1600000;"OPOLSKIE";990069;986506;982626;976774;969410;478960;477119;475166;472035;468296;511109;509387;507460;504739;501114;
1800000;"PODKARPACKIE";2129138;2129015;2127164;2121229;2110694;1042812;1042643;1041834;1038436;1033111;1086326;1086372;1085330;1082793;1077583;
2000000;"PODLASKIE";1184548;1181533;1178353;1173286;1165262;577406;575870;574218;571499;567453;607142;605663;604135;601787;597809;
2200000;"POMORSKIE";2324251;2333523;2343928;2346671;2346982;1131951;1136296;1141225;1141741;1141099;1192300;1197227;1202703;1204930;1205883;
2400000;"ŚLĄSKIE";4548180;4533565;4517635;4492330;4455877;2192913;2185485;2177295;2163440;2144179;2355267;2348080;2340340;2328890;2311698;
2600000;"ŚWIĘTOKRZYSKIE";1247732;1241546;1233961;1224626;1212564;608515;605341;601664;596713;590512;639217;636205;632297;627913;622052;
2800000;"WARMIŃSKO-MAZURSKIE";1433945;1428983;1422737;1416495;1405359;701585;698982;695909;692514;686688;732360;730001;726828;723981;718671;
3000000;"WIELKOPOLSKIE";3489210;3493969;3498733;3496450;3489074;1697701;1699923;1702134;1700403;1696163;1791509;1794046;1796599;1796047;1792911;
3200000;"ZACHODNIOPOMORSKIE";1705533;1701030;1696193;1688047;1676920;829202;826996;824522;819848;814055;876331;874034;871671;868199;862865;
