"Kod";"Nazwa";"ogółem;2018;[%]";"ogółem;2019;[%]";"ogółem;2020;[%]";"ogółem;2021;[%]";"ogółem (Polska = 100);2018;[%]";"ogółem (Polska = 100);2019;[%]";"ogółem (Polska = 100);2020;[%]";"ogółem (Polska = 100);2021;[%]";
0000000;"POLSKA";5,8;5,2;6,3;5,4;100,0;100,0;100,0;100,0;
0200000;"DOLNOŚLĄSKIE";5,2;4,6;5,6;4,8;89,7;88,5;88,9;88,9;
0400000;"KUJAWSKO-POMORSKIE";8,8;7,9;9,0;7,7;151,7;151,9;142,9;142,6;
0600000;"LUBELSKIE";8,0;7,5;8,2;7,2;137,9;144,2;130,2;133,3;
0800000;"LUBUSKIE";5,8;4,9;6,3;4,9;100,0;94,2;100,0;90,7;
1000000;"ŁÓDZKIE";6,1;5,4;6,2;5,6;105,2;103,8;98,4;103,7;
1200000;"MAŁOPOLSKIE";4,7;4,1;5,3;4,5;81,0;78,8;84,1;83,3;
1400000;"MAZOWIECKIE";4,9;4,4;5,2;4,6;84,5;84,6;82,5;85,2;
1600000;"OPOLSKIE";6,3;5,8;6,9;6,0;108,6;111,5;109,5;111,1;
1800000;"PODKARPACKIE";8,7;7,9;9,1;8,2;151,7;151,9;144,4;151,9;
2000000;"PODLASKIE";7,7;6,9;7,8;7,0;134,5;132,7;123,8;129,6;
2200000;"POMORSKIE";4,9;4,5;5,9;5,1;84,5;86,5;93,7;94,4;
2400000;"ŚLĄSKIE";4,3;3,6;4,9;4,2;74,1;69,2;77,8;77,8;
2600000;"ŚWIĘTOKRZYSKIE";8,3;8,0;8,5;7,3;143,1;153,8;134,9;135,2;
2800000;"WARMIŃSKO-MAZURSKIE";10,4;9,1;10,2;8,6;179,3;175,0;161,9;159,3;
3000000;"WIELKOPOLSKIE";3,2;2,8;3,7;3,1;53,4;53,8;58,7;57,4;
3200000;"ZACHODNIOPOMORSKIE";7,4;6,8;8,4;7,1;127,6;130,8;133,3;131,5;
