"Kod";"Nazwa";"rok;ogółem;2018;[zł]";"rok;ogółem;2019;[zł]";"rok;ogółem;2020;[zł]";"rok;ogółem;2021;[zł]";
0000000;"POLSKA";4852,29;5169,06;5411,45;5889,84;
0200000;"DOLNOŚLĄSKIE";4987,55;5363,55;5654,89;6238,01;
0400000;"KUJAWSKO-POMORSKIE";4135,08;4503,13;4765,04;5227,97;
0600000;"LUBELSKIE";4126,67;4352,10;4585,19;5014,44;
0800000;"LUBUSKIE";4221,48;4457,86;4624,90;5140,32;
1000000;"ŁÓDZKIE";4419,28;4710,55;4977,90;5482,53;
1200000;"MAŁOPOLSKIE";4696,66;5151,08;5483,28;6020,56;
1400000;"MAZOWIECKIE";5796,51;6095,17;6347,01;6847,08;
1600000;"OPOLSKIE";4361,48;4648,22;4910,23;5378,28;
1800000;"PODKARPACKIE";4025,33;4262,94;4453,77;4881,23;
2000000;"PODLASKIE";4150,54;4414,83;4680,65;5112,55;
2200000;"POMORSKIE";4916,59;5282,31;5512,43;6045,62;
2400000;"ŚLĄSKIE";4970,73;5311,15;5481,24;5920,61;
2600000;"ŚWIĘTOKRZYSKIE";4088,80;4339,56;4513,57;4855,22;
2800000;"WARMIŃSKO-MAZURSKIE";3916,71;4142,65;4400,23;4863,90;
3000000;"WIELKOPOLSKIE";4436,31;4732,26;4922,32;5330,52;
3200000;"ZACHODNIOPOMORSKIE";4466,57;4765,91;5019,82;5450,87;
